"subplot_id","replicate","plot","subplot","date","timestamp","nested_subplot","run","soil_co2_efflux","soil_temp","vwc"
"A03E","A",3,"E",2019-05-15,2019-05-15 12:53:00,"c",1,1.87,10,14
"A03E","A",3,"E",2019-05-15,2019-05-15 12:55:00,"c",2,1.85,10,14
"A03E","A",3,"E",2019-05-15,2019-05-15 12:57:00,"n",1,2.76,11.4,12
"A03E","A",3,"E",2019-05-15,2019-05-15 12:58:00,"n",2,2.88,11.4,12
"A03E","A",3,"E",2019-05-15,2019-05-15 13:01:00,"e",1,2.89,10.4,13
"A03E","A",3,"E",2019-05-15,2019-05-15 13:02:00,"e",2,3.07,10.4,13
"A03E","A",3,"E",2019-05-15,2019-05-15 13:04:00,"s",1,2.16,12.4,14
"A03E","A",3,"E",2019-05-15,2019-05-15 13:05:00,"s",2,2.43,12.4,14
"A03E","A",3,"E",2019-05-15,2019-05-15 13:07:00,"w",1,1.93,11.2,14
"A03E","A",3,"E",2019-05-15,2019-05-15 13:09:00,"w",2,2.15,11.1,14
"A03W","A",3,"W",2019-05-15,2019-05-15 13:13:00,"n",1,3.14,9.7,12
"A03W","A",3,"W",2019-05-15,2019-05-15 13:14:00,"n",2,3.15,9.7,12
"A03W","A",3,"W",2019-05-15,2019-05-15 13:17:00,"e",1,2.76,11.4,13
"A03W","A",3,"W",2019-05-15,2019-05-15 13:18:00,"e",2,2.74,11.4,13
"A03W","A",3,"W",2019-05-15,2019-05-15 13:20:00,"s",1,2.02,10.1,13
"A03W","A",3,"W",2019-05-15,2019-05-15 13:21:00,"s",2,2.18,10.1,13
"A03W","A",3,"W",2019-05-15,2019-05-15 13:24:00,"w",1,2.31,20.1,10
"A03W","A",3,"W",2019-05-15,2019-05-15 13:25:00,"w",2,2.37,20.1,10
"A01E","A",1,"E",2019-05-15,2019-05-15 13:31:00,"c",1,2.91,12.6,13
"A01E","A",1,"E",2019-05-15,2019-05-15 13:32:00,"c",2,2.88,12.6,13
"A01E","A",1,"E",2019-05-15,2019-05-15 13:35:00,"n",1,1.74,12.3,13
"A01E","A",1,"E",2019-05-15,2019-05-15 13:37:00,"n",2,1.82,12.3,13
"A01E","A",1,"E",2019-05-15,2019-05-15 13:40:00,"w",1,2.35,10.1,14
"A01E","A",1,"E",2019-05-15,2019-05-15 13:41:00,"w",2,2.57,10.1,14
"A01E","A",1,"E",2019-05-15,2019-05-15 13:44:00,"s",1,1.68,12.2,14
"A01E","A",1,"E",2019-05-15,2019-05-15 13:45:00,"s",2,1.76,12.2,14
"A01E","A",1,"E",2019-05-15,2019-05-15 13:48:00,"e",1,2.91,11.1,15
"A01E","A",1,"E",2019-05-15,2019-05-15 13:49:00,"e",2,2.9,11.1,15
"A01W","A",1,"W",2019-05-15,2019-05-15 13:53:00,"c",1,1.71,13,10
"A01W","A",1,"W",2019-05-15,2019-05-15 13:55:00,"c",2,1.7,13,10
"A01W","A",1,"W",2019-05-15,2019-05-15 13:57:00,"n",1,1.57,12.8,12
"A01W","A",1,"W",2019-05-15,2019-05-15 13:58:00,"n",2,1.59,12.8,12
"A01W","A",1,"W",2019-05-15,2019-05-15 14:03:00,"w",1,3.04,11.5,11
"A01W","A",1,"W",2019-05-15,2019-05-15 14:04:00,"w",2,2.93,11.5,11
"A01W","A",1,"W",2019-05-15,2019-05-15 14:06:00,"s",1,1.88,12.1,12
"A01W","A",1,"W",2019-05-15,2019-05-15 14:07:00,"s",2,1.98,12.1,12
"A01W","A",1,"W",2019-05-15,2019-05-15 14:10:00,"e",1,2.36,13.4,12
"A01W","A",1,"W",2019-05-15,2019-05-15 14:11:00,"e",2,2.55,13.4,12
"A02W","A",2,"W",2019-05-15,2019-05-15 14:17:00,"c",1,2.15,10.2,13
"A02W","A",2,"W",2019-05-15,2019-05-15 14:18:00,"c",2,2.36,10.2,13
"A02W","A",2,"W",2019-05-15,2019-05-15 14:22:00,"n",1,2.17,13.1,12
"A02W","A",2,"W",2019-05-15,2019-05-15 14:23:00,"n",2,2.42,13.1,12
"A02W","A",2,"W",2019-05-15,2019-05-15 14:26:00,"e",1,1.52,12,15
"A02W","A",2,"W",2019-05-15,2019-05-15 14:27:00,"e",2,1.58,12,15
"A02W","A",2,"W",2019-05-15,2019-05-15 14:30:00,"s",1,1.72,13.2,16
"A02W","A",2,"W",2019-05-15,2019-05-15 14:31:00,"s",2,1.73,13.2,16
"A02W","A",2,"W",2019-05-15,2019-05-15 14:33:00,"w",1,2.09,8.1,15
"A02W","A",2,"W",2019-05-15,2019-05-15 14:35:00,"w",2,1.9,8.1,15
"A02E","A",2,"E",2019-05-15,2019-05-15 14:39:00,"c",1,1.35,14.1,12
"A02E","A",2,"E",2019-05-15,2019-05-15 14:41:00,"c",2,1.34,14.1,12
"A02E","A",2,"E",2019-05-15,2019-05-15 14:43:00,"n",1,3.33,10.6,16
"A02E","A",2,"E",2019-05-15,2019-05-15 14:44:00,"n",2,3.35,10.6,16
"A02E","A",2,"E",2019-05-15,2019-05-15 14:47:00,"w",1,2.53,12.6,12
"A02E","A",2,"E",2019-05-15,2019-05-15 14:48:00,"w",2,2.66,12.6,12
"A02E","A",2,"E",2019-05-15,2019-05-15 14:50:00,"s",1,1.79,13.2,9
"A02E","A",2,"E",2019-05-15,2019-05-15 14:51:00,"s",2,2.44,13.2,9
"A02E","A",2,"E",2019-05-15,2019-05-15 14:54:00,"e",1,1.54,14.3,13
"A02E","A",2,"E",2019-05-15,2019-05-15 14:56:00,"e",2,1.47,14.3,13
"A04W","A",4,"W",2019-05-15,2019-05-15 15:01:00,"c",1,3.37,10.8,14
"A04W","A",4,"W",2019-05-15,2019-05-15 15:02:00,"c",2,3.62,10.8,14
"A04W","A",4,"W",2019-05-15,2019-05-15 15:05:00,"n",1,3.2,10.7,17
"A04W","A",4,"W",2019-05-15,2019-05-15 15:06:00,"n",2,3.32,10.7,17
"A04W","A",4,"W",2019-05-15,2019-05-15 15:09:00,"w",1,1.83,11.1,19
"A04W","A",4,"W",2019-05-15,2019-05-15 15:10:00,"w",2,2.02,11.1,19
"A04W","A",4,"W",2019-05-15,2019-05-15 15:12:00,"s",1,2.31,10.4,14
"A04W","A",4,"W",2019-05-15,2019-05-15 15:13:00,"s",2,2.61,10.4,14
"A04W","A",4,"W",2019-05-15,2019-05-15 15:15:00,"e",1,2.7,11.1,17
"A04W","A",4,"W",2019-05-15,2019-05-15 15:16:00,"e",2,2.9,11.1,17
"A04E","A",4,"E",2019-05-15,2019-05-15 15:20:00,"n",1,1.48,12.1,9
"A04E","A",4,"E",2019-05-15,2019-05-15 15:21:00,"n",2,1.6,12.1,9
"A04E","A",4,"E",2019-05-15,2019-05-15 15:24:00,"c",1,2.28,12.6,7
"A04E","A",4,"E",2019-05-15,2019-05-15 15:25:00,"c",2,2.3,12.6,7
"A04E","A",4,"E",2019-05-15,2019-05-15 15:31:00,"w",1,8.49,10,17
"A04E","A",4,"E",2019-05-15,2019-05-15 15:32:00,"w",2,8.69,10,17
"A04E","A",4,"E",2019-05-15,2019-05-15 15:34:00,"s",1,2.59,11.3,9
"A04E","A",4,"E",2019-05-15,2019-05-15 15:35:00,"s",2,2.75,11.3,9
"A04E","A",4,"E",2019-05-15,2019-05-15 15:38:00,"e",1,1.34,12.5,8
"A04E","A",4,"E",2019-05-15,2019-05-15 15:40:00,"e",2,1.31,12.5,8
"A03E","A",3,"E",2019-05-24,2019-05-24 07:40:00,"c",1,2.39,9.7,26
"A03E","A",3,"E",2019-05-24,2019-05-24 07:42:00,"c",2,2.25,9.7,26
"A03E","A",3,"E",2019-05-24,2019-05-24 07:44:00,"n",1,2.3,10.1,15
"A03E","A",3,"E",2019-05-24,2019-05-24 07:45:00,"n",2,2.29,10.1,15
"A03E","A",3,"E",2019-05-24,2019-05-24 07:48:00,"e",1,2.82,9,17
"A03E","A",3,"E",2019-05-24,2019-05-24 07:49:00,"e",2,2.84,9,17
"A03E","A",3,"E",2019-05-24,2019-05-24 07:52:00,"s",1,3.43,9.1,19
"A03E","A",3,"E",2019-05-24,2019-05-24 07:53:00,"s",2,3.29,9.1,19
"A03E","A",3,"E",2019-05-24,2019-05-24 07:55:00,"w",1,2.4,9.4,15
"A03E","A",3,"E",2019-05-24,2019-05-24 07:57:00,"w",2,2.34,9.4,15
"A03W","A",3,"W",2019-05-24,2019-05-24 08:00:00,"c",1,2.31,10.6,11
"A03W","A",3,"W",2019-05-24,2019-05-24 08:02:00,"c",2,2.18,10.6,11
"A03W","A",3,"W",2019-05-24,2019-05-24 08:04:00,"n",1,2.63,9.3,15
"A03W","A",3,"W",2019-05-24,2019-05-24 08:05:00,"n",2,2.61,9.3,15
"A03W","A",3,"W",2019-05-24,2019-05-24 08:10:00,"e",1,2.61,10.6,17
"A03W","A",3,"W",2019-05-24,2019-05-24 08:11:00,"e",2,2.47,10.6,17
"A03W","A",3,"W",2019-05-24,2019-05-24 08:14:00,"s",1,1.97,9.6,17
"A03W","A",3,"W",2019-05-24,2019-05-24 08:16:00,"s",2,1.97,9.6,17
"A03W","A",3,"W",2019-05-24,2019-05-24 08:19:00,"w",1,1.5,10.9,17
"A03W","A",3,"W",2019-05-24,2019-05-24 08:21:00,"w",2,1.46,10.9,17
"A01E","A",1,"E",2019-05-24,2019-05-24 08:31:00,"c",1,3.09,9.4,18
"A01E","A",1,"E",2019-05-24,2019-05-24 08:32:00,"c",2,2.96,9.4,18
"A01E","A",1,"E",2019-05-24,2019-05-24 08:35:00,"n",1,1.32,10,16
"A01E","A",1,"E",2019-05-24,2019-05-24 08:37:00,"n",2,1.31,10,16
"A01E","A",1,"E",2019-05-24,2019-05-24 08:40:00,"e",1,2.48,10,18
"A01E","A",1,"E",2019-05-24,2019-05-24 08:42:00,"e",2,2.49,10,18
"A01E","A",1,"E",2019-05-24,2019-05-24 08:45:00,"s",1,1.42,10.3,16
"A01E","A",1,"E",2019-05-24,2019-05-24 08:47:00,"s",2,1.37,10.3,16
"A01E","A",1,"E",2019-05-24,2019-05-24 08:50:00,"w",1,2.83,9.3,18
"A01E","A",1,"E",2019-05-24,2019-05-24 08:51:00,"w",2,2.56,9.3,18
"A01W","A",1,"W",2019-05-24,2019-05-24 08:54:00,"c",1,1.45,10.2,14
"A01W","A",1,"W",2019-05-24,2019-05-24 08:56:00,"c",2,1.49,10.2,14
"A01W","A",1,"W",2019-05-24,2019-05-24 08:59:00,"n",1,1.53,9.8,15
"A01W","A",1,"W",2019-05-24,2019-05-24 09:01:00,"n",2,1.48,9.8,15
"A01W","A",1,"W",2019-05-24,2019-05-24 09:03:00,"w",1,2.17,9.7,11
"A01W","A",1,"W",2019-05-24,2019-05-24 09:05:00,"w",2,2.17,9.7,11
"A01W","A",1,"W",2019-05-24,2019-05-24 09:08:00,"s",1,2.36,10,19
"A01W","A",1,"W",2019-05-24,2019-05-24 09:09:00,"s",2,2.29,10,19
"A01W","A",1,"W",2019-05-24,2019-05-24 09:12:00,"e",1,2.21,10.3,13
"A01W","A",1,"W",2019-05-24,2019-05-24 09:13:00,"e",2,2.22,10.3,13
"A02W","A",2,"W",2019-05-24,2019-05-24 09:18:00,"c",1,1.95,9.4,18
"A02W","A",2,"W",2019-05-24,2019-05-24 09:19:00,"c",2,2.06,9.4,18
"A02W","A",2,"W",2019-05-24,2019-05-24 09:23:00,"s",1,1.84,9.8,17
"A02W","A",2,"W",2019-05-24,2019-05-24 09:24:00,"s",2,1.69,9.8,17
"A02W","A",2,"W",2019-05-24,2019-05-24 09:26:00,"w",1,3.17,8.6,19
"A02W","A",2,"W",2019-05-24,2019-05-24 09:27:00,"w",2,3.06,8.6,19
"A02W","A",2,"W",2019-05-24,2019-05-24 09:30:00,"n",1,2.57,10.3,16
"A02W","A",2,"W",2019-05-24,2019-05-24 09:31:00,"n",2,2.47,10.3,16
"A02W","A",2,"W",2019-05-24,2019-05-24 09:35:00,"e",1,1.33,10,21
"A02W","A",2,"W",2019-05-24,2019-05-24 09:37:00,"e",2,1.5,10,21
"A02E","A",2,"E",2019-05-24,2019-05-24 09:54:00,"c",1,1.55,10.7,14
"A02E","A",2,"E",2019-05-24,2019-05-24 09:56:00,"c",2,1.56,10.7,14
"A02E","A",2,"E",2019-05-24,2019-05-24 09:59:00,"n",1,4.84,9.5,16
"A02E","A",2,"E",2019-05-24,2019-05-24 09:59:00,"n",2,4.75,9.5,16
"A02E","A",2,"E",2019-05-24,2019-05-24 10:07:00,"w",5,2.4,10.4,17
"A02E","A",2,"E",2019-05-24,2019-05-24 10:08:00,"w",6,2.4,10.4,17
"A02E","A",2,"E",2019-05-24,2019-05-24 10:11:00,"s",1,1.66,10.2,17
"A02E","A",2,"E",2019-05-24,2019-05-24 10:13:00,"s",2,1.7,10.2,17
